Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1985;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;32.82;Años;
1985;Edad media de la madre al nacimiento del primer hijo;Otros;;;25.74;Años;
1985;Edad media de la madre al nacimiento del segundo hijo;Otros;;;28.67;Años;
1985;Edad media de la madre;Otros;;;28.61;Años;
1985;Indice sintético de fecundidad;Otros;;;1.55;Índice;
1985;Crecimiento vegetativo;Otros;;;25292;Número;
1985;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;107.80;Porcentaje;
1985;Edad media de la madre extranjera;Otros;;;-;Porcentaje;
1985;Edad media de la madre española;Otros;;;-;Porcentaje;
1985;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.88;Porcentaje;
1985;Proporción de nacimientos de madre casada;Otros;;;88.96;Porcentaje;
1985;Tasa general de fecundidad;Otros;;;46.49;Tasa;
1985;Tasa bruta de natalidad;Otros;;;11.91;Tasa;
1986;Edad media de la madre al nacimiento del segundo hijo;Otros;;;29.26;Años;
1986;Edad media de la madre;Otros;;;28.70;Años;
1986;Edad media de la madre al nacimiento del primer hijo;Otros;;;26.21;Años;
1986;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;33.36;Años;
1986;Indice sintético de fecundidad;Otros;;;1.47;Índice;
1986;Crecimiento vegetativo;Otros;;;23996;Número;
1986;Edad media de la madre extranjera;Otros;;;-;Porcentaje;
1986;Edad media de la madre española;Otros;;;-;Porcentaje;
1986;Proporción de nacimientos de madre casada;Otros;;;91.32;Porcentaje;
1986;Proporción de hombres nacidos respecto al total de nacidos;Otros;;;51.23;Porcentaje;
1986;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;105.05;Porcentaje;
1986;Tasa general de fecundidad;Otros;;;44.12;Tasa;
1986;Tasa bruta de natalidad;Otros;;;11.37;Tasa;
1987;Edad media de la madre;Otros;;;28.78;Años;
1987;Edad media de la madre al nacimiento del primer hijo;Otros;;;26.41;Años;
1987;Edad media de la madre al nacimiento del tercer hijo y sucesivos;Otros;;;33.47;Años;
1987;Edad media de la madre al nacimiento del segundo hijo;Otros;;;29.47;Años;
1987;Indice sintético de fecundidad;Otros;;;1.42;Índice;
1987;Crecimiento vegetativo;Otros;;;21872;Número;
1987;Edad media de la madre española;Otros;;;-;Porcentaje;
1987;Proporción de nacimientos de madre casada;Otros;;;91.03;Porcentaje;
1987;Proporción de hombres nacidos respecto a mujeres nacidas;Otros;;;106.80;Porcentaje;
