Año;Tipo territorio;Código territorio;Territorio;Edad;Nacionalidad;Valor;Unidad;Estado dato
1995;Comunidad de Madrid;;Comunidad de Madrid;Total;Extranjeras;2795;Número;
1995;Municipios;0014;Acebeda (La);Total;Extranjeras;0;Número;
1995;Municipios;0029;Ajalvir;Total;Extranjeras;0;Número;
1995;Municipios;0035;Alameda del Valle;Total;Extranjeras;0;Número;
1995;Municipios;0040;Álamo (El);Total;Extranjeras;8;Número;
1995;Municipios;0053;Alcalá de Henares;Total;Extranjeras;66;Número;
1995;Municipios;0066;Alcobendas;Total;Extranjeras;56;Número;
1995;Municipios;0072;Alcorcón;Total;Extranjeras;44;Número;
1995;Municipios;0088;Aldea del Fresno;Total;Extranjeras;1;Número;
1995;Municipios;0091;Algete;Total;Extranjeras;11;Número;
1995;Municipios;0105;Alpedrete;Total;Extranjeras;8;Número;
1995;Municipios;0112;Ambite;Total;Extranjeras;0;Número;
1995;Municipios;0127;Anchuelo;Total;Extranjeras;0;Número;
1995;Municipios;0133;Aranjuez;Total;Extranjeras;6;Número;
1995;Municipios;0148;Arganda del Rey;Total;Extranjeras;7;Número;
1995;Municipios;0151;Arroyomolinos;Total;Extranjeras;0;Número;
1995;Municipios;0164;Atazar (El);Total;Extranjeras;0;Número;
1995;Municipios;0170;Batres;Total;Extranjeras;0;Número;
1995;Municipios;0186;Becerril de la Sierra;Total;Extranjeras;5;Número;
1995;Municipios;0199;Belmonte de Tajo;Total;Extranjeras;0;Número;
1995;Municipios;0210;Berrueco (El);Total;Extranjeras;0;Número;
1995;Municipios;0203;Berzosa del Lozoya;Total;Extranjeras;0;Número;
1995;Municipios;0225;Boadilla del Monte;Total;Extranjeras;11;Número;
1995;Municipios;0231;Boalo (El);Total;Extranjeras;5;Número;
1995;Municipios;0246;Braojos;Total;Extranjeras;0;Número;
1995;Municipios;0259;Brea de Tajo;Total;Extranjeras;0;Número;
1995;Municipios;0262;Brunete;Total;Extranjeras;2;Número;
1995;Municipios;0278;Buitrago del Lozoya;Total;Extranjeras;0;Número;
1995;Municipios;0284;Bustarviejo;Total;Extranjeras;0;Número;
1995;Municipios;0297;Cabanillas de la Sierra;Total;Extranjeras;0;Número;
1995;Municipios;0301;Cabrera (La);Total;Extranjeras;0;Número;
1995;Municipios;0318;Cadalso de los Vidrios;Total;Extranjeras;1;Número;
