Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1995;Nacimientos de madres residentes extranjeras de África;Otros;;;600;Número;
1995;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;25;Número;
1995;Nacimientos de madres residentes extranjeras de Asia;Otros;;;376;Número;
1995;Nacimientos de madres residentes extranjeras de América;Otros;;;1065;Número;
1995;Nacimientos de madres residentes no consta nacionalidad;Otros;;;0;Número;
1995;Nacimientos de madres residentes extranjeras;Otros;;;2795;Número;
1995;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;719;Número;
1995;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;10;Número;
1995;Nacimientos de madres residentes españolas;Otros;;;44211;Número;
1996;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;25;Número;
1996;Nacimientos de madres residentes extranjeras de Asia;Otros;;;395;Número;
1996;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;712;Número;
1996;Nacimientos de madres residentes no consta nacionalidad;Otros;;;2;Número;
1996;Nacimientos de madres residentes españolas;Otros;;;44481;Número;
1996;Nacimientos de madres residentes extranjeras;Otros;;;3010;Número;
1996;Nacimientos de madres residentes extranjeras de América;Otros;;;1181;Número;
1996;Nacimientos de madres residentes extranjeras de África;Otros;;;693;Número;
1996;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;2;Número;
1997;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;48;Número;
1997;Nacimientos de madres residentes extranjeras de la Unión Europea (sin España);Otros;;;810;Número;
1997;Nacimientos de madres residentes extranjeras;Otros;;;3478;Número;
1997;Nacimientos de madres residentes españolas;Otros;;;45248;Número;
1997;Nacimientos de madres residentes extranjeras de África;Otros;;;886;Número;
1997;Nacimientos de madres residentes no consta nacionalidad;Otros;;;1;Número;
1997;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;2;Número;
1997;Nacimientos de madres residentes extranjeras de Asia;Otros;;;417;Número;
1997;Nacimientos de madres residentes extranjeras de América;Otros;;;1314;Número;
1998;Nacimientos de madres residentes extranjeras de América;Otros;;;1550;Número;
1998;Nacimientos de madres residentes extranjeras de África;Otros;;;968;Número;
1998;Nacimientos de madres residentes extranjeras del resto Europa;Otros;;;38;Número;
1998;Nacimientos de madres residentes extranjeras de Oceanía;Otros;;;3;Número;
1998;Nacimientos de madres residentes no consta nacionalidad;Otros;;;3;Número;
1998;Nacimientos de madres residentes extranjeras;Otros;;;3837;Número;
1998;Nacimientos de madres residentes extranjeras de Asia;Otros;;;410;Número;
1998;Nacimientos de madres residentes españolas;Otros;;;45021;Número;
